w_word,stem.x,affix,whl_word_len,afx_len,stem_len,transp,afx_onset,stem_frq,stem_orth,stem_orth_f,stem_n1_f,stem_n1_c,stem_n2_f,stem_n2_c,stem_n3_f,stem_n3_c,stem_un1_f,stem_un1_c,stem_un2_f,stem_un2_c,stem_un3_f,stem_un3_c,stem_freq_hal,stem_log_freq_hal,stem_ortho_n,stem_old,stem_oldf,stem_bg_sum,stem_bg_mean,stem_nmorph,stem_old_vwr,stem_logfrq,whl_word_freq,whl_word_logfrq,whl_word_orth,whl_word_orth_f,whl_word_n1_f,whl_word_n1_c,whl_word_n2_f,whl_word_n2_c,whl_word_n3_f,whl_word_n3_c,whl_word_un1_f,whl_word_un1_c,whl_word_un2_f,whl_word_un2_c,whl_word_un3_f,whl_word_un3_c,whl_word_freq_hal,whl_word_log_freq_hal,whl_word_ortho_n,whl_word_old,whl_word_oldf,whl_word_bg_sum,whl_word_bg_mean,whl_word_nmorph,whl_word_old_vwr,rel_frq,prime.x,trigger,rel,relatedness.x,afx_frq,med_splt,r1_splt,r1.5_splt,prime.y,list,stem.y,relatedness.y
tenth,ten,th,5,2,3,transparent,consonant,219.647,21,43.93,27909.67,65,655.67,9.5,219.65,1,400064.28,46862,39107.11,6805,3379.07,618,39037,10.572,26,1,9.306,15746,7873,1,1,2.343698027,10.5302,1.061836841,3,30.3,8134.32,345.6,797.9,41.25,72.54,7,367417.13,38241,58480.64,5068.25,6247.1,949,2575,7.854,3,1.8,8.142,23606,5901.5,2,1.75,2.207211065,tenth,25,related,related,low,low,high,high,tenth,B,ten,related
warmth,warm,th,6,2,4,transparent,consonant,94.177,11,16.84,19032.15,225.75,1411.64,39,183.06,6,204929.83,25231.75,19039.81,2255,1530.36,230.5,21018,9.953,11,1.3,8.491,8367,2789,1,1.25,1.978532012,24.987,1.414756146,0,0,4908.74,506,733.05,61.8,61.47,6.5,242768.69,25257.67,36730.4,1749.4,777.67,115.75,2499,7.824,0,2.35,7.9,10889,2177.8,1,2.35,1.398496848,warmth,16,related,related,low,low,high,low,warmth,A,warm,related
marketeer,market,eer,9,3,6,transparent,vowel,132.55,2,25.11,9200.63,938.83,1356.04,132.6,320.7,19,278668.4,33793.5,15357.19,2369,958.03,193.75,98850,11.501,3,1.85,7.943,14836,2967.2,1,1.85,2.125643892,0.178478,0.071321479,0,0,2989.7,1027.56,241.65,133.25,21.49,14.71,328609.19,41007.56,23873.73,3989.5,871.46,218.29,64,4.159,0,NA,NA,38318,4789.75,2,2.9,29.803698577,marketeer,44,related,related,low,high,high,high,marketeer,B,market,related
musketeer,musket,eer,9,3,6,transparent,vowel,0.65442,0,0,7492.64,789.5,811.87,90.8,124.3,11.5,238160.32,31811.67,9262.76,1511.4,653.6,96,191,5.252,0,2,7.072,9139,1827.8,1,1.95,0.218645772,0,0,0,0,2889.87,928.67,184.98,93.62,12.56,11,301603.8,39686.33,20064.71,3453.5,697.5,162.43,87,4.466,0,3.75,5.933,32621,4077.63,2,3.1,218645772,musketeer,49,related,related,low,high,high,high,musketeer,B,musket,related
profiteer,profit,eer,9,3,6,transparent,vowel,36.945,0,0,4670.41,439.67,511.09,50.2,80.67,6.5,239508.49,30562.83,22584.97,2217.4,1510.76,269.5,19954,9.901,1,2.55,7.531,12913,2582.6,1,2.35,1.579154557,0.118986,0.048824653,0,0,3102.64,964.11,513,130.25,108.05,21.57,302502.58,38853.78,28391.09,3894.75,1443.8,270.57,33,3.497,0,3.5,7.044,36395,4549.38,2,2.8,32.343384492,profiteer,36,related,related,low,high,high,high,profiteer,A,profit,related
racketeer,racket,eer,9,3,6,transparent,vowel,11.7201,4,15.17,8404.67,873.33,1069.25,115.8,280.91,29.25,280988.42,35107.33,12236.31,2643.2,1555.11,396.5,671,6.509,4,1.7,7.125,15700,3140,1,1.7,1.104490526,0.0594928,0.02509801,0,0,2962.36,972.33,181.53,112.38,17.18,18.86,330155.87,41883.44,21923.18,4160.88,1212.65,334.14,17,2.833,0,3.55,6.137,39182,4897.75,2,2.75,44.0070938689126,racketeer,48,related,related,low,high,high,high,racketeer,B,racket,related
cashier,cash,ier,7,3,4,transparent,vowel,54.3169,13,38.56,14069.49,216,1654.49,33.67,304.93,7,251712.69,31944.75,20623.49,2748,892.81,243.5,39508,10.584,13,1.25,8.335,9593,3197.67,1,1.2,1.742857834,2.20123,0.505316878,2,0,8117.51,1420,1284.21,295.33,124.54,73.6,296637.55,39857.43,27919.3,4147.17,819.58,396.2,769,6.645,2,2.5,6.894,29267,4877.83,2,1.8,3.449039418,cashier,33,related,related,low,high,high,high,cashier,A,cash,related
clothier,cloth,ier,8,3,5,transparent,vowel,47.2967,2,1.25,6967.04,327.6,1187.94,49.25,158.71,9.67,249339.5,27181.6,39937.5,1726,2217.61,195.67,11191,9.323,2,1.85,7.424,8386,2096.5,1,1.75,1.683917457,0,0,0,0,4972.08,1258.88,704.83,215.86,115.08,55.5,289538.7,35891.38,37913.62,3363.29,2842.87,306.83,28,3.332,0,2.75,6.886,28060,4008.57,2,2.45,1683917457,clothier,50,related,related,low,high,high,high,clothier,B,cloth,related
courtier,court,ier,8,3,5,transparent,vowel,128.088,1,80.79,11480.82,390.2,3111.09,51.5,892.23,7.33,238551.71,30400.6,22535.84,2816.75,4057.07,286.33,57767,10.964,1,1.85,8.245,13092,3273,1,1.85,2.110885872,1.6063,0.416024404,0,0,5571.92,1380.38,1142.13,290.43,96.44,63.67,282796.33,37903.25,28294.02,4886.29,2597.58,433,30,3.401,0,2.55,6.87,39665,5666.43,2,2,5.073947217,courtier,46,related,related,low,high,high,high,courtier,B,court,related
frontier,front,ier,8,3,5,transparent,vowel,263.077,2,4.22,9125.86,339.2,1346.71,50,350.13,7.33,267953.37,31530,26343.12,3941,2820.77,281.33,77889,11.263,2,1.8,7.529,18748,4687,1,1.8,2.421730578,13.0884,1.148861674,1,0,5155.17,1261.38,1105.45,265.71,76.07,63.33,301172.37,38609.12,30469.61,5528.71,2254.17,484.33,4646,8.444,1,2.8,6.325,45321,6474.43,2,2.35,2.107939216,frontier,40,related,related,low,low,high,high,frontier,A,front,related
